"id","name","code","start_date","end_date","course_id/name","company_id/name"
"op_batch_0001","MTPCCATATH201C","MTPCCATATH201C",2020-11-13,2021-12-05,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0002","DIC1INTONL201B","DIC1INTONL201B",2021-07-05,2021-09-20,"Diplomado en Evaluación e Intervención en Psicología Clínica","base.main_company"
"op_batch_0003","PGATONLELR201A","PGATONLELR201A",2019-08-20,2021-12-05,"__export__.op_course_38_d7e33622","base.main_company"
"op_batch_0004","MTCPONLELR201A","MTCPONLELR201A",2020-03-20,2021-12-05,"Maestría en Psicooncologia y Cuidados Paliativos","base.main_company"
"op_batch_0005","MLONMX211A","MLONMX211A",2019-06-27,2021-12-05,"op_course_0004","base.main_company"
"op_batch_0006","MTLPONLELR201A","MTLPONLELR201A",2019-07-19,2021-12-05,"op_course_0011","base.main_company"
"op_batch_0007","PGAUONLELR201A","PGAUONLELR201A",2019-09-05,2021-12-05,"op_course_0015","base.main_company"
"op_batch_0008","MTPCONLELR201A","MTPCONLELR201A",2019-07-12,2021-12-05,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0009","MTMPONLELR201A","MTMPONLELR201A",2019-09-05,2021-12-05,"Máster en Psicoterapia Cognitivo-Conductual","base.main_company"
"op_batch_0010","MTMIONLELR201A","MTMIONLELR201A",2019-08-01,2021-12-05,"op_course_0002","base.main_company"
"op_batch_0011","MTCPONLELR191A","MTCPONLELR191A",2020-03-20,2021-12-05,"Maestría en Psicooncologia y Cuidados Paliativos","base.main_company"
"op_batch_0012","MTMSONLELR191A","MTMSONLELR191A",2020-03-17,2021-12-05,"op_course_0006","base.main_company"
"op_batch_0013","MTAPONLENR191B","MTAPONLENR191B",2019-09-01,2021-12-05,"op_course_0013","base.main_company"
"op_batch_0014","MTPVONLELR191B","MTPVONLELR191B",2019-09-18,2021-12-05,"op_course_0018","base.main_company"
"op_batch_0015","PGPOONLELR191B","PGPOONLELR191B",2019-08-27,2021-12-05,"op_course_0008","base.main_company"
"op_batch_0016","MTLPONLELR191B","MTLPONLELR191B",2019-07-19,2021-12-05,"op_course_0011","base.main_company"
"op_batch_0017","MTPCONLELR191B","MTPCONLELR191B",2019-07-12,2021-12-05,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0018","MTPCONLELR191A","MTPCONLELR191A",2019-07-12,2021-12-05,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0019","MTLPCATELR171A","MTLPCATELR171A",2012-12-04,2021-12-05,"op_course_0011","base.main_company"
"op_batch_0020","MIONIS21P","MIONIS21P",2021-01-01,2023-12-31,"Mestrado em Psicologia Clínica da Criança e do Adolescente","__export__.res_company_8_50662d8b"
"op_batch_0021","PCONIS21P","PCONIS21P",2021-01-01,2023-12-31,"Mestrado em Psicologia Clínica e da Saúde","__export__.res_company_8_50662d8b"
"op_batch_0022","MLONIS21P","MLONIS21P",2021-01-01,2023-12-31,"Mestrado em Psicologia Forense","__export__.res_company_8_50662d8b"
"op_batch_0023","MPONIS21P","MPONIS21P",2021-01-01,2023-12-31,"Máster em Terapia Cognitivo-Comportamental","__export__.res_company_8_50662d8b"
"op_batch_0024","PIONIS21P","PIONIS21P",2021-01-01,2021-12-31,"Especialização em Avaliação e Intervenção em Crianças e Adolescentes","__export__.res_company_8_50662d8b"
"op_batch_0025","PFONIS21P","PFONIS21P",2021-01-01,2023-12-31,"Máster em Psicoterapia da Criança e do Adolescente","__export__.res_company_8_50662d8b"
"op_batch_0026","MSONIS21P","MSONIS21P",2021-01-01,2023-12-31,"Máster em Sexologia Clínica e Terapia de Casais","__export__.res_company_8_50662d8b"
"op_batch_0027","ATONIS21P","ATONIS21P",2021-01-01,2023-12-31,"Especialização em Cuidados Precoces","__export__.res_company_8_50662d8b"
"op_batch_0028","AUONIS21P","AUONIS21P",2021-01-01,2023-12-31,"Especialização em Transtorno do Espectro do Autismo","__export__.res_company_8_50662d8b"
"op_batch_0029","APONIS21P","APONIS21P",2021-01-01,2023-12-31,"Mestrado em Intervenção em Dificuldades de Aprendizagem","__export__.res_company_8_50662d8b"
"op_batch_0030","ESONIS21P","ESONIS21P",2021-01-01,2023-12-31,"Mestrado em Educação Especial","__export__.res_company_8_50662d8b"
"op_batch_0031","PVONIS21P","PVONIS21P",2021-01-01,2023-12-31,"Mestrado em Psicopedagogia Terapêutica","__export__.res_company_8_50662d8b"
"op_batch_0032","LPONIS21P","LPONIS21P",2021-01-01,2023-12-31,"Mestrado em Distúrbios da Linguagem e da Fala","__export__.res_company_8_50662d8b"
"op_batch_0033","THONIS21P","THONIS21P",2021-01-01,2023-12-31,"Mestrado em Neuromanagement e Gestão de Talento","__export__.res_company_8_50662d8b"
"op_batch_0034","ILONGE21UP","ILONGE21UP",2021-06-11,2022-09-30,"op_course_0010","base.main_company"
"op_batch_0035","CPONIS21P","CPONIS21P",2021-01-01,2023-12-31,"Máster em Psico-Oncologia e Cuidados Paliativos","__export__.res_company_8_50662d8b"
"op_batch_0036","BAONIS21P","BAONIS21P",2021-01-01,2023-12-31,"op_course_0054","__export__.res_company_8_50662d8b"
"op_batch_0037","DPONIS21P","DPONIS21P",2021-01-01,2023-12-31,"Mestrado em Gestão de Projetos","__export__.res_company_8_50662d8b"
"op_batch_0038","SEONIS21P","SEONIS21P",2021-01-01,2023-12-31,"Especialização em Terapia Sexual e de Casais","__export__.res_company_8_50662d8b"
"op_batch_0039","POONIS21P","POONIS21P",2021-01-31,2023-12-31,"Especialização em Psico-oncologia","__export__.res_company_8_50662d8b"
"op_batch_0040","MTPCCATATH211H","MTPCCATATH211H",2021-10-16,2023-11-30,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0041","MTMICATATH211H","MTMICATATH211H",2021-10-16,2023-11-30,"op_course_0002","base.main_company"
"op_batch_0042","BBONIS21P","BBONIS21P",2021-01-01,2023-12-31,"Mestrado em Big Data e Business Intelligence","__export__.res_company_8_50662d8b"
"op_batch_0043","PCONGE21UE","PCONGE21UE",2021-07-15,2022-12-05,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0044","PCONMX21GE","PCONMX21GE",2021-07-15,2022-09-30,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0045","PCONMX21EE","PCONMX21EE",2021-07-15,2022-09-30,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0046","MPONGE21UE","MPONGE21UE",2021-07-15,2022-09-30,"Máster en Psicoterapia Cognitivo-Conductual","base.main_company"
"op_batch_0047","MIONGE21UE","MIONGE21UE",2021-07-15,2022-09-30,"op_course_0002","base.main_company"
"op_batch_0048","MIONMX21GE","MIONMX21GE",2021-07-15,2022-09-30,"op_course_0002","base.main_company"
"op_batch_0049","MLONGE21UE","MLONGE21UE",2021-07-15,2023-09-30,"op_course_0004","base.main_company"
"op_batch_0050","MLONMX21GE","MLONMX21GE",2021-07-15,2022-09-30,"op_course_0004","base.main_company"
"op_batch_0051","MLONMX21EE","MLONMX21EE",2021-07-15,2022-09-30,"op_course_0004","base.main_company"
"op_batch_0052","MSONGE21UE","MSONGE21UE",2021-07-15,2022-09-30,"op_course_0006","base.main_company"
"op_batch_0053","CPONGE21UE","CPONGE21UE",2021-07-15,2022-09-30,"op_course_0012","base.main_company"
"op_batch_0054","ESONGE21UE","ESONGE21UE",2021-07-15,2022-09-30,"Master en Educacion Especial","base.main_company"
"op_batch_0055","ESONMX21GE","ESONMX21GE",2021-07-15,2022-09-30,"Master en Educacion Especial","base.main_company"
"op_batch_0056","PVONGE21UE","PVONGE21UE",2021-07-15,2022-09-30,"op_course_0018","base.main_company"
"op_batch_0057","PVONMX21GE","PVONMX21GE",2021-07-15,2022-09-30,"op_course_0018","base.main_company"
"op_batch_0058","APONGE21UE","APONGE21UE",2021-07-15,2022-09-30,"op_course_0013","base.main_company"
"op_batch_0059","THONGE21UE","THONGE21UE",2021-07-15,2022-09-30,"op_course_0021","base.main_company"
"op_batch_0060","THONMX21GE","THONMX21GE",2021-07-15,2022-09-30,"op_course_0021","base.main_company"
"op_batch_0061","THONMX21EE","THONMX21EE",2021-07-15,2022-09-30,"op_course_0021","base.main_company"
"op_batch_0062","BAONGE21UE","BAONGE21UE",2021-07-15,2022-09-30,"op_course_0025","base.main_company"
"op_batch_0063","DPONGE21UE","DPONGE21UE",2021-07-15,2022-09-30,"op_course_0027","base.main_company"
"op_batch_0064","POONGE21UE","POONGE21UE",2021-07-15,2022-09-30,"op_course_0008","base.main_company"
"op_batch_0065","POONMX21GE","POONMX21GE",2021-07-15,2022-09-30,"op_course_0008","base.main_company"
"op_batch_0066","ATONGE21UE","ATONGE21UE",2021-07-15,2022-09-30,"__export__.op_course_38_d7e33622","base.main_company"
"op_batch_0067","ATONMX21GE","ATONMX21GE",2021-07-15,2022-09-30,"__export__.op_course_38_d7e33622","base.main_company"
"op_batch_0068","AUONGE21UE","AUONGE21UE",2021-07-15,2022-09-25,"op_course_0015","base.main_company"
"op_batch_0069","AUONMX21GE","AUONMX21GE",2021-07-15,2022-09-30,"op_course_0015","base.main_company"
"op_batch_0070","AUONMX21EE","AUONMX21EE",2021-07-15,2022-09-30,"op_course_0015","base.main_company"
"op_batch_0071","NPONGE21UE","NPONGE21UE",2021-07-15,2022-09-30,"Especialidad en Neuropsicología Clínica","base.main_company"
"op_batch_0072","PIONGE21UE","PIONGE21UE",2021-07-15,2022-09-30,"op_course_0007","base.main_company"
"op_batch_0073","PC36GE22UE","PC36GE22UE",2022-01-29,2022-09-30,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0074","MI36GE22UE","MI36GE22UE",2021-08-31,2022-09-30,"op_course_0002","base.main_company"
"op_batch_0075","MS36GE22UE","MS36GE22UE",2021-08-31,2022-09-30,"op_course_0006","base.main_company"
"op_batch_0076","EDONGE21UE","EDONGE21UE",2021-09-03,2022-09-30,"Maestría en Educación","base.main_company"
"op_batch_0077","LPONGE21UE","LPONGE21UE",2021-09-03,2022-09-30,"Maestría en Patologias del Lenguaje y el Habla","base.main_company"
"op_batch_0078","LPONMX21GE","LPONMX21GE",2021-09-03,2022-09-30,"op_course_0011","base.main_company"
"op_batch_0079","EDONIS21P","EDONIS21P",2021-01-01,2023-12-31,"Mestrado em Educação","__export__.res_company_8_50662d8b"
"op_batch_0080","IEONGE21UE","IEONGE21UE",2021-09-28,2022-09-30,"Maestría en inteligencia emocional y desarrollo personal","base.main_company"
"op_batch_0081","BBONGE21UE","BBONGE21UE",2021-09-30,2022-09-30,"op_course_0026","base.main_company"
"op_batch_0082","PC36MX21GE","PC36MX21GE",2021-11-26,2022-09-30,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0083","PC36MX21EE","PC36MX21EE",2021-11-26,2022-09-30,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0084","PC36MX22ME","PC36MX22ME",2022-02-19,2024-09-30,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0085","MI36MX22ME","MI36MX22ME",2022-02-19,2024-09-30,"op_course_0002","base.main_company"
"op_batch_0086","PCONCO22UE","PCONCO22UE",2022-04-05,2022-12-31,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0087","PCONMX22UE","PCONMX22UE",2022-04-05,2022-12-31,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0088","MPONMX22UE","MPONMX22UE",2022-04-05,2022-12-31,"Máster en Psicoterapia Cognitivo-Conductual","base.main_company"
"op_batch_0089","MIONCO22UE","MIONCO22UE",2022-04-05,2022-12-31,"op_course_0002","base.main_company"
"op_batch_0090","MIONMX22UE","MIONMX22UE",2022-04-05,2022-12-31,"op_course_0002","base.main_company"
"op_batch_0091","MLONCO22UE","MLONCO22UE",2022-04-05,2022-12-31,"op_course_0004","base.main_company"
"op_batch_0092","POONCO22UE","POONCO22UE",2022-04-05,2022-12-31,"op_course_0008","base.main_company"
"op_batch_0093","POONMX22UE","POONMX22UE",2022-04-05,2022-12-31,"op_course_0008","base.main_company"
"op_batch_0094","NPONCO22UE","NPONCO22UE",2022-04-05,2022-12-31,"Especialidad en Neuropsicología Clínica","base.main_company"
"op_batch_0095","MLONMX22UE","MLONMX22UE",2022-04-05,2022-12-31,"op_course_0004","base.main_company"
"op_batch_0096","NPONMX22UE","NPONMX22UE",2022-04-05,2022-12-31,"Especialidad en Neuropsicología Clínica","base.main_company"
"op_batch_0097","CPONCO22UE","CPONCO22UE",2022-04-05,2022-12-31,"op_course_0012","base.main_company"
"op_batch_0098","CPONMX22UE","CPONMX22UE",2022-04-05,2022-12-31,"op_course_0012","base.main_company"
"op_batch_0099","PIONMX22UE","PIONMX22UE",2022-04-06,2022-12-31,"op_course_0007","base.main_company"
"op_batch_0100","PIONCO22UE","PIONCO22UE",2022-04-06,2022-12-31,"op_course_0007","base.main_company"
"op_batch_0101","MSONCO22UE","MSONCO22UE",2022-04-06,2022-12-31,"op_course_0006","base.main_company"
"op_batch_0102","MSONMX22UE","MSONMX22UE",2022-04-06,2022-12-31,"op_course_0006","base.main_company"
"op_batch_0103","SEONCO22UE","SEONCO22UE",2022-04-06,2022-12-31,"op_course_0009","base.main_company"
"op_batch_0104","SEONMX22UE","SEONMX22UE",2022-04-06,2022-12-31,"op_course_0009","base.main_company"
"op_batch_0105","ESONCO22UE","ESONCO22UE",2022-04-06,2022-12-31,"op_course_0016","base.main_company"
"op_batch_0106","ESONMX22UE","ESONMX22UE",2022-04-06,2022-12-31,"op_course_0016","base.main_company"
"op_batch_0107","PVONCO22UE","PVONCO22UE",2022-04-06,2022-12-31,"op_course_0018","base.main_company"
"op_batch_0108","PVONMX22UE","PVONMX22UE",2022-04-06,2022-12-31,"op_course_0018","base.main_company"
"op_batch_0109","APONCO22UE","APONCO22UE",2022-04-06,2022-12-31,"op_course_0013","base.main_company"
"op_batch_0110","APONMX22UE","APONMX22UE",2022-04-06,2022-12-31,"op_course_0013","base.main_company"
"op_batch_0111","THONCO22UE","THONCO22UE",2022-04-07,2022-12-31,"op_course_0021","base.main_company"
"op_batch_0112","THONMX22UE","THONMX22UE",2022-04-07,2022-12-31,"op_course_0021","base.main_company"
"op_batch_0113","LPONCO22UE","LPONCO22UE",2022-04-07,2022-12-31,"op_course_0011","base.main_company"
"op_batch_0114","LPONMX22UE","LPONMX22UE",2022-04-07,2022-12-31,"op_course_0011","base.main_company"
"op_batch_0115","AUONCO22UE","AUONCO22UE",2022-04-07,2022-12-31,"op_course_0015","base.main_company"
"op_batch_0116","AUONMX22UE","AUONMX22UE",2022-04-07,2022-12-31,"op_course_0015","base.main_company"
"op_batch_0117","ATONCO22UE","ATONCO22UE",2022-04-07,2022-12-31,"__export__.op_course_38_d7e33622","base.main_company"
"op_batch_0118","ATONMX22UE","ATONMX22UE",2022-04-08,2022-12-31,"Especialidad en Atención Temprana","base.main_company"
"op_batch_0119","EDONCO22UE","EDONCO22UE",2022-04-07,2022-12-31,"Maestría en Educación","base.main_company"
"op_batch_0120","BBONMX22UE","BBONMX22UE",2022-04-07,2022-12-31,"op_course_0026","base.main_company"
"op_batch_0121","DPONMX22UE","DPONMX22UE",2022-04-07,2022-12-31,"op_course_0027","base.main_company"
"op_batch_0122","BAONMX22UE","BAONMX22UE",2022-04-07,2022-12-31,"op_course_0025","base.main_company"
"op_batch_0123","IEONMX22UE","IEONMX22UE",2022-04-07,2022-12-31,"Maestría en inteligencia emocional y desarrollo personal","base.main_company"
"op_batch_0124","PC36CO22ME","PC36CO22ME",2022-04-21,2022-12-31,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0125","MI36CO22ME","MI36CO22ME",2022-04-21,2022-12-31,"op_course_0002","base.main_company"
"op_batch_0126","EDONMX22UE","EDONMX22UE",2022-05-28,2022-12-31,"Maestría en Educación","base.main_company"
"op_batch_0127","CVONCU22GE","CVONCU22GE",2022-06-11,2022-12-31,"op_course_0094","base.main_company"
"op_batch_0128","LP36MX22SE","LP36MX22SE",2022-06-11,2022-12-31,"op_course_0011","base.main_company"
"op_batch_0129","LP36CO22SE","LP36CO22SE",2022-06-11,2022-12-31,"op_course_0011","base.main_company"
"op_batch_0130","PC36CO22SE","PC36CO22SE",2022-06-11,2022-12-31,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0131","PC36MX22SE","PC36MX22SE",2022-06-11,2022-12-31,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0132","MI36CO22SE","MI36CO22SE",2022-06-14,2022-12-31,"op_course_0002","base.main_company"
"op_batch_0133","MI36MX22SE","MI36MX22SE",2022-06-14,2022-12-31,"op_course_0002","base.main_company"
"op_batch_0134","EDONIS22P","EDONIS22P",2022-01-01,2024-12-31,"Mestrado em Educação","__export__.res_company_8_50662d8b"
"op_batch_0135","ESONIS22P","ESONIS22P",2022-01-01,2024-12-31,"Mestrado em Educação Especial","__export__.res_company_8_50662d8b"
"op_batch_0136","BAONIS22P","BAONIS22P",2022-01-01,2024-12-31,"op_course_0054","__export__.res_company_8_50662d8b"
"op_batch_0137","MIONIS22P","MIONIS22P",2022-01-01,2024-12-31,"Mestrado em Psicologia Clínica da Criança e do Adolescente","__export__.res_company_8_50662d8b"
"op_batch_0138","PCONIS22P","PCONIS22P",2022-01-01,2024-12-31,"Mestrado em Psicologia Clínica e da Saúde","__export__.res_company_8_50662d8b"
"op_batch_0139","APONIS22P","APONIS22P",2022-01-01,2024-12-31,"Mestrado em Intervenção em Dificuldades de Aprendizagem","__export__.res_company_8_50662d8b"
"op_batch_0140","PVONIS22P","PVONIS22P",2022-01-01,2024-12-31,"Mestrado em Psicopedagogia Terapêutica","__export__.res_company_8_50662d8b"
"op_batch_0141","MPONIS22P","MPONIS22P",2022-01-01,2024-12-31,"Máster em Terapia Cognitivo-Comportamental","__export__.res_company_8_50662d8b"
"op_batch_0142","PFONIS22P","PFONIS22P",2022-01-01,2024-12-31,"Máster em Psicoterapia da Criança e do Adolescente","__export__.res_company_8_50662d8b"
"op_batch_0143","MSONIS22P","MSONIS22P",2022-01-01,2024-12-31,"Máster em Sexologia Clínica e Terapia de Casais","__export__.res_company_8_50662d8b"
"op_batch_0144","BBONIS22P","BBONIS22P",2022-01-01,2024-12-31,"Mestrado em Big Data e Business Intelligence","__export__.res_company_8_50662d8b"
"op_batch_0145","MLONIS22P","MLONIS22P",2022-01-01,2024-12-31,"Mestrado em Psicologia Forense","__export__.res_company_8_50662d8b"
"op_batch_0146","CPONIS22P","CPONIS22P",2022-01-01,2024-12-31,"Máster em Psico-Oncologia e Cuidados Paliativos","__export__.res_company_8_50662d8b"
"op_batch_0147","LPONIS22P","LPONIS22P",2022-01-01,2024-12-31,"Mestrado em Distúrbios da Linguagem e da Fala","__export__.res_company_8_50662d8b"
"op_batch_0148","THONIS22P","THONIS22P",2022-01-01,2024-12-31,"Mestrado em Neuromanagement e Gestão de Talento","__export__.res_company_8_50662d8b"
"op_batch_0149","DPONIS22P","DPONIS22P",2022-01-01,2024-12-31,"Mestrado em Gestão de Projetos","__export__.res_company_8_50662d8b"
"op_batch_0150","POONIS22P","POONIS22P",2022-01-01,2023-12-31,"Especialização em Psico-oncologia","__export__.res_company_8_50662d8b"
"op_batch_0151","PIONIS22P","PIONIS22P",2022-01-01,2022-12-31,"Especialização em Avaliação e Intervenção em Crianças e Adolescentes","__export__.res_company_8_50662d8b"
